Day,data,smoothed
2021-08-02,0.0002906816216536481,0.00029492088333341233
2021-08-03,0.0003038053630181874,0.0003018827477508441
2021-08-04,0.00031705617000996907,0.0003082711723219717
2021-08-05,0.00032974732350576306,0.0003139875647876932
2021-08-06,0.0003409696790272236,0.0003189347457285724
2021-08-07,0.0003496907375918439,0.0003230207861607002
2021-08-08,0.0003556670979314394,0.00032616261409129204
2021-08-09,0.00035970488052055374,0.00032828916257946785
2021-08-10,0.00036200609953735525,0.00032934393055681076
2021-08-11,0.00036283142104001544,0.00032928691635525077
2021-08-12,0.0003628769226360565,0.00032809590331055844
2021-08-13,0.0003620574905243733,0.0003257671311350222
2021-08-14,0.0003598298485564893,0.00032231540149549103
2021-08-15,0.0003562177156494898,0.0003177736674788605
2021-08-16,0.00035095235808633063,0.0003121922150655602
2021-08-17,0.00034361038512938135,0.00030563747411851505
2021-08-18,0.0003343582325811822,0.0002981904450444588
2021-08-19,0.000323336116352938,0.00028994480667186514
2021-08-20,0.00031113547651659396,0.000281004716646901
2021-08-21,0.00029853258320886554,0.00027148231061327216
2021-08-22,0.0002855902834923695,0.0002614949878302407
2021-08-23,0.00027214351306657395,0.0002511625172533275
2021-08-24,0.0002580586715005497,0.00024060408829311645
2021-08-25,0.00024287953268505502,0.00022993544427538218
2021-08-26,0.000227222869140895,0.0002192661950954745
2021-08-27,0.00021189714096368637,0.00020869743188855526
2021-08-28,0.00019763940946802375,0.00019831975717103336
2021-08-29,0.0001849597120478287,0.00018821180118836004
2021-08-30,0.00017370750618853976,0.0001784392831488073
2021-08-31,0.00016383567676234135,0.00016905461185926754
2021-09-01,0.00015530929080631538,0.00016009697911883918
2021-09-02,0.00014734933517973001,0.00015159289461950137
2021-09-03,0.000139775820413139,0.00014355705535277932
2021-09-04,0.00013261254610021631,0.0001359934615171725
2021-09-05,0.0001253251911938341,0.00012889667785085748
2021-09-06,0.00011820895133213829,0.00012225316931810856
2021-09-07,0.0001117161801481119,0.00011604268654717179
2021-09-08,0.00010545511212690466,0.00011023962694869744
2021-09-09,9.97078732992891e-05,0.00010481437110745532
2021-09-10,9.511753675399488e-05,9.97346101285684e-05
2021-09-11,9.170185134054157e-05,9.496663776822145e-05
2021-09-12,8.928502277209665e-05,9.047659680617287e-05
2021-09-13,8.70614146336489e-05,8.623168320856791e-05
2021-09-14,8.44160292893451e-05,8.220125474462704e-05
2021-09-15,8.169956787037428e-05,7.835778480080062e-05
2021-09-16,7.882223733348513e-05,7.467763028693072e-05
2021-09-17,7.546722071475328e-05,7.11415461969548e-05
2021-09-18,7.192455035064627e-05,6.773490585806385e-05
2021-09-19,6.838107322065203e-05,6.444761966735457e-05
2021-09-20,6.487156093451113e-05,6.12737399653754e-05
2021-09-21,6.144950207054852e-05,5.82107850105576e-05
2021-09-22,5.792304770077531e-05,5.525885991316957e-05
2021-09-23,5.4102527165098254e-05,5.241963815306216e-05
2021-09-24,5.0019485009708946e-05,4.9695326236956765e-05
2021-09-25,4.612982463749427e-05,4.70877049094344e-05
2021-09-26,4.285637204996372e-05,4.459733765067601e-05
2021-09-27,4.022518578527558e-05,4.222301558750078e-05
2021-09-28,3.818616568183141e-05,3.9961476566637836e-05
2021-09-29,3.6568196694944776e-05,3.780743028141355e-05
2021-09-30,3.5307867025877566e-05,3.575386842017055e-05
2021-10-01,3.4451000977025765e-05,3.3792587213878716e-05
2021-10-02,3.3706920799211976e-05,3.191487789690044e-05
2021-10-03,3.282972425000139e-05,3.0112290652895282e-05
2021-10-04,3.1767455606254874e-05,2.8377356945841387e-05
2021-10-05,3.0358035601223236e-05,2.670421515073524e-05
2021-10-06,2.8689482393205817e-05,2.5089062674701237e-05
2021-10-07,2.681584929664859e-05,2.3530360421001306e-05
2021-10-08,2.4810229300936713e-05,2.2028799955121387e-05
2021-10-09,2.2762818832265108e-05,2.0587044362392403e-05
2021-10-10,2.0694351773936195e-05,1.9209260736307462e-05
2021-10-11,1.8635162523310694e-05,1.7900512226439627e-05
2021-10-12,1.6662781282153655e-05,1.6666062248870225e-05
2021-10-13,1.4923636059001565e-05,1.551067128742889e-05
2021-10-14,1.3366819926368736e-05,1.4437982945417686e-05
2021-10-15,1.196119172100719e-05,1.345003230484542e-05
2021-10-16,1.091530042477192e-05,1.2546915073441107e-05
2021-10-17,1.0185742032928699e-05,1.1726661285332192e-05
2021-10-18,9.707733244731077e-06,1.0985303597484206e-05
2021-10-19,9.573487401092117e-06,1.0317120764172364e-05
2021-10-20,9.637867318894936e-06,9.715026648588266e-06
2021-10-21,9.750491836755505e-06,9.171050617222511e-06
2021-10-22,9.909666746310594e-06,8.676859471706366e-06
2021-10-23,9.96476885641e-06,8.224268477041159e-06
2021-10-24,9.821567911422527e-06,7.805702546597253e-06
2021-10-25,9.586476331876895e-06,7.414567700805212e-06
2021-10-26,9.216735525748677e-06,7.0454989918613495e-06
2021-10-27,8.6420761842581e-06,6.694482427052972e-06
2021-10-28,8.026675165461229e-06,6.358852962299856e-06
2021-10-29,7.451773794204478e-06,6.0371863761488534e-06
2021-10-30,6.922535372166267e-06,5.729112520948133e-06
2021-10-31,6.52713941082339e-06,5.435068970989532e-06
2021-11-01,6.196930133170586e-06,5.156028866269207e-06
2021-11-02,5.8530865120231995e-06,4.893233559089507e-06
2021-11-03,5.548209683230152e-06,4.647946303184968e-06
2021-11-04,5.252933368495418e-06,4.421253006744686e-06
2021-11-05,4.953300517969516e-06,4.213914393487694e-06
2021-11-06,4.698523850774902e-06,4.02627763142073e-06
2021-11-07,4.481342473926295e-06,3.858245284623174e-06
2021-11-08,4.329186427590309e-06,3.70930543928384e-06
2021-11-09,4.2825553593070645e-06,3.5785619584344824e-06
2021-11-10,4.3201506496530715e-06,3.4648507091627966e-06
2021-11-11,4.3867895119402e-06,3.3668418267299946e-06
2021-11-12,4.439148618022943e-06,3.2831514244393883e-06
2021-11-13,4.4695636919723956e-06,3.212443583333063e-06
2021-11-14,4.482391269579724e-06,3.1535233170455663e-06
2021-11-15,4.465529862536129e-06,3.105402480524437e-06
2021-11-16,4.393243639038226e-06,3.0673390183498336e-06
2021-11-17,4.2749717599668825e-06,3.0388639301944826e-06
2021-11-18,4.144679069175463e-06,3.0197928522109423e-06
2021-11-19,4.02051779912717e-06,3.01022705494796e-06
2021-11-20,3.930644079287144e-06,3.0105644698015102e-06
2021-11-21,3.87949512203528e-06,3.0215352191938225e-06
2021-11-22,3.858519208966693e-06,3.044279414213502e-06
2021-11-23,3.897082618377404e-06,3.0804834722829714e-06
2021-11-24,3.994862643912513e-06,3.1325607847763814e-06
2021-11-25,4.112489110274054e-06,3.2038826280408063e-06
2021-11-26,4.24092623952479e-06,3.2990953160263633e-06
2021-11-27,4.3722677259696395e-06,3.4245515627558626e-06
2021-11-28,4.456655437776341e-06,3.5888971333125502e-06
2021-11-29,4.49336328564637e-06,3.80376792582417e-06
2021-11-30,4.53539578837227e-06,4.084570190168689e-06
2021-12-01,4.5707321342339675e-06,4.451480245530502e-06
2021-12-02,4.584850537260902e-06,4.930655469348372e-06
2021-12-03,4.582510916187867e-06,5.555639315878863e-06
2021-12-04,4.540962472994319e-06,6.369155116170662e-06
2021-12-05,4.513855139182605e-06,7.425208763768036e-06
2021-12-06,4.567666423862405e-06,8.791359130409546e-06
2021-12-07,5.359749171967764e-06,1.0551359145248991e-05
2021-12-08,5.521021672829713e-06,1.2808109655441223e-05
2021-12-09,5.798549138044872e-06,1.568665109378535e-05
2021-12-10,6.2102417703102664e-06,1.9337234212746556e-05
2021-12-11,6.8343558606894735e-06,2.3938566477589826e-05
2021-12-12,7.756005210287724e-06,2.9700660864164598e-05
2021-12-13,9.09572064266067e-06,3.686696634281855e-05
2021-12-14,1.091997966691799e-05,4.5716153660514984e-05
2021-12-15,1.3181344448889185e-05,5.6562811029486616e-05
2021-12-16,1.598066072448093e-05,6.975667725379302e-05
2021-12-17,1.9670565863011667e-05,8.568086609365528e-05
2021-12-18,2.4470500185814318e-05,0.00010474849154909363
2021-12-19,3.0458800660541185e-05,0.00012739751094005672
2021-12-20,3.8091128660312966e-05,0.00015408404146234167
2021-12-21,4.858715285347931e-05,0.00018527392286420006
2021-12-22,6.386624996240471e-05,0.00022143284394391874
2021-12-23,8.528402870744101e-05,0.0002630152754888862
2021-12-24,0.00011267986200043605,0.0003104522703727176
2021-12-25,0.0001450729645522559,0.0003641387613564395
2021-12-26,0.0001824796330338231,0.00042442073837939816
2021-12-27,0.00022832305578134244,0.0004915824090267571
2021-12-28,0.0002863525159026464,0.00056583372695137
2021-12-29,0.0003561552719698164,0.0006472989731650352
2021-12-30,0.00043700692889268736,0.0007360070450782337
2021-12-31,0.0005277631699367793,0.0008318833386486063
2022-01-01,0.0006245525676389294,0.0009347435317888563
2022-01-02,0.0007289532367511938,0.0010442900235842325
2022-01-03,0.0008460540951371895,0.0011601108419124146
2022-01-04,0.0009745410825197584,0.0012816814478470147
2022-01-05,0.001113514009521903,0.0014083696617552641
2022-01-06,0.0012651952741332398,0.001539442822523722
2022-01-07,0.001424912653070919,0.0016740775810729983
2022-01-08,0.0015848804521400013,0.00181137206350585
2022-01-09,0.0017504004140451617,0.001950359415770551
2022-01-10,0.0019256347246753283,0.002090022753268225
2022-01-11,0.0020997289944302173,0.002229311234069587
2022-01-12,0.002274607359950928,0.00236715623193876
2022-01-13,0.002451518210771396,0.0025024873858868154
2022-01-14,0.002615823667309885,0.002634248845741548
2022-01-15,0.002767133093523787,0.0027614153366752273
2022-01-16,0.0029111074042907814,0.00288300779266608
2022-01-17,0.003048710846199313,0.0029981086928617296
2022-01-18,0.0031855715794320396,0.003105876622950683
2022-01-19,0.0033207431869266236,0.003205559963798881
2022-01-20,0.003450700021079179,0.003296509438991657
2022-01-21,0.003573569255559036,0.003378188444334911
2022-01-22,0.0036795470713042924,0.0034501806678646847
2022-01-23,0.0037631982058559327,0.0035121945370068974
2022-01-24,0.003830579131406157,0.0035640640534620105
2022-01-25,0.0038852269516344495,0.0036057459791256114
2022-01-26,0.003918801240121797,0.003637313412831567
2022-01-27,0.003922843621276469,0.0036589463709300377
2022-01-28,0.0039096108858405615,0.0036709201523351283
2022-01-29,0.003892766178850832,0.003673592322038065
2022-01-30,0.003872577588611615,0.003667389369285112
2022-01-31,0.0038536084250109814,0.0036527938404224145
2022-02-01,0.0038310189801678872,0.0036303324246787527
2022-02-02,0.003800476921267782,0.0036005651448794192
2022-02-03,0.0037726460798083797,0.003564075532600876
2022-02-04,0.0037408451434178033,0.003521461565590665
2022-02-05,0.003694568245359063,0.003473326947024884
2022-02-06,0.0036361220906569926,0.0034202725181136295
2022-02-07,0.003557362861739302,0.0033628880641347197
2022-02-08,0.0034553720023322632,0.0033017443826086107
2022-02-09,0.0033500496838704008,0.003237385919414282
2022-02-10,0.003255274377205779,0.0031703253052096825
2022-02-11,0.0031666773643823317,0.0031010400478184495
2022-02-12,0.003085340599131455,0.0030299713671424174
2022-02-13,0.0030159558284704713,0.0029575256908226507
2022-02-14,0.0029560516864569567,0.00288407844251162
